equipment_id,locatie,equipment_type,nr,measurement_type,metingen
MT15,Hal 2,mix,15,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 28, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 318, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 314, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT16,Hal 2,mix,16,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 30, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 340, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 336, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT17,Hal 2,mix,17,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 32, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 362, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 358, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT18,Hal 2,mix,18,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 34, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 384, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 380, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT19,Hal 3,mix,19,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 36, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 406, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 402, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT20,Hal 3,mix,20,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 38, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 428, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 424, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT21,Hal 3,mix,21,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 40, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 450, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 446, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT22,Hal 3,mix,22,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 42, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 472, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 468, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT23,Hal 3,mix,23,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 44, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 494, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 490, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT24,Hal 3,mix,24,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 46, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 516, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 512, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT25,Hal 3,mix,25,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 48, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 538, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 534, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT26,Hal 3,mix,26,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 50, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 560, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 556, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
RT01,Kook,room,01,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 52, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 582, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 578, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
RT02,Kook,room,02,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 54, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 604, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 600, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
RT03,Kook,room,03,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 56, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 626, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 622, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
PT01,Kook,pasteur,01,pasteur_data,"{""voorHHtemp"": {""db_nummer"": 6, ""start_adres"": 74, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""naHHtemp"": {""db_nummer"": 6, ""start_adres"": 76, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""HHtemp"": {""db_nummer"": 6, ""start_adres"": 80, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""eritsercalt"": {""db_nummer"": 6, ""start_adres"": 82, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""ventieldruk"": {""db_nummer"": 6, ""start_adres"": 84, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""ventieltemp"": {""db_nummer"": 6, ""start_adres"": 86, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}}"
PM01,Kook,premixer,01,tank_data,"{""temperature"": {""db_nummer"": 10, ""start_adres"": 180, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""weight"": {""db_nummer"": 10, ""start_adres"": 176, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
PM02,Kook,premixer,02,tank_data,"{""temperature"": {""db_nummer"": 10, ""start_adres"": 188, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""weight"": {""db_nummer"": 10, ""start_adres"": 184, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
